Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-08-8,2.9,14.4,0.0,2.2,9.5,SE,28.0,15:19,7.5,74,1.0,NNE,9,1025.4,13.2,50,1,SSW,11,1023.9
2022-08-9,0.4,13.5,5.0,1.2,9.3,WSW,26.0,14:29,6.4,78,1.0,NNE,9,1028.6,11.6,61,4,S,15,1026.7
2022-08-10,1.4,12.0,0.0,2.6,1.5,NNE,56.0,20:08,6.3,88,8.0,NNE,11,1026.9,11.7,67,6,NNE,19,1022.9
2022-08-11,6.4,14.0,0.0,2.4,4.4,N,52.0,10:16,11.5,70,7.0,NNE,31,1015.5,12.4,72,2,NNE,31,1012.7
2022-08-12,8.6,15.0,1.8,1.6,0.2,NNE,54.0,09:48,10.9,78,7.0,N,24,1013.4,14.3,60,7,NNE,26,1011.3
2022-08-13,4.6,16.6,0.0,0.8,5.6,ESE,41.0,16:10,10.2,88,3.0,NNW,4,1013.4,12.4,66,7,NE,9,1011.3
2022-08-14,6.1,14.6,0.8,1.4,1.5,W,67.0,16:07,9.7,82,7.0,WNW,28,1007.4,14.1,65,6,W,46,1003.3
2022-08-15,8.1,15.9,0.0,2.4,7.2,W,52.0,10:43,11.9,67,5.0,WNW,28,1005.4,13.0,63,7,WNW,39,1003.5
2022-08-16,9.5,14.0,1.4,2.2,2.7,S,44.0,14:01,10.9,89,6.0,WSW,24,1012.4,11.7,85,6,SW,26,1015.2
2022-08-17,4.4,15.5,1.2,1.6,1.3,NNE,96.0,23:09,8.2,83,7.0,N,20,1020.1,14.2,65,7,NNE,33,1016.0
2022-08-18,8.2,14.2,2.4,4.6,0.0,NNE,91.0,00:03,12.0,78,7.0,NNE,59,1007.3,14.0,70,7,N,31,1006.4
2022-08-19,5.2,15.5,8.4,1.2,8.7,NNW,48.0,22:08,9.8,76,1.0,WNW,19,1015.6,14.2,52,2,WNW,22,1014.8
2022-08-20,9.7,13.0,1.4,2.8,2.2,N,46.0,01:01,10.4,93,7.0,SSW,22,1020.4,11.4,54,4,S,28,1023.1
2022-08-21,5.6,14.3,0.2,2.2,8.7,NNE,52.0,22:46,9.2,66,2.0,N,13,1026.7,13.1,49,5,NW,28,1023.0
2022-08-22,8.0,17.2,0.0,4.6,6.6,N,57.0,12:36,11.2,67,2.0,NNE,35,1012.7,14.5,76,7,NW,30,1006.8
2022-08-23,4.6,12.3,8.4,2.2,7.1,SW,54.0,14:00,7.5,75,2.0,WSW,26,1017.4,7.7,85,5,WSW,26,1019.3
2022-08-24,5.6,12.6,3.4,2.0,2.1,W,39.0,12:40,10.0,77,5.0,WNW,17,1024.1,10.6,87,8,NW,17,1022.0
2022-08-25,9.2,14.9,4.2,0.2,2.5,WSW,30.0,08:59,10.3,93,8.0,WSW,19,1026.5,13.5,75,4,S,19,1026.3
2022-08-26,9.2,13.1,1.4,0.8,0.1,SSE,19.0,18:04,10.1,94,7.0, ,Calm,1030.1,13.0,74,7,WSW,4,1028.2
2022-08-27,6.6,18.9,0.0,0.8,9.2,NNE,31.0,10:16,11.0,86,1.0,NE,9,1029.5,18.2,47,3,NNE,17,1025.3
2022-08-28,7.7,19.1,0.2,4.8,7.2,NNE,46.0,09:44,14.0,70,3.0,N,30,1024.6,18.5,54,4,NNE,30,1021.0
2022-08-29,10.6,15.0,0.0,1.8,0.3,N,67.0,09:12,14.8,68,6.0,NNE,41,1017.9,12.8,92,8,N,11,1015.6
2022-08-30,7.4,14.2,16.2,2.6,0.7,WSW,54.0,16:38,9.9,80,7.0,N,22,1013.2,14.1,80,7,WSW,31,1015.3
2022-08-31,4.1,15.8,0.6,0.4,9.2,N,26.0,23:12,10.3,72,1.0,N,11,1025.6,14.6,53,3, ,Calm,1023.2
2022-09-1,4.3,14.7,0.0,2.8,0.5,N,26.0,06:18,11.0,68,7.0,N,15,1024.1,13.9,49,7,W,9,1022.1
2022-09-2,5.7,12.5,5.2,2.2,6.5,SSW,43.0,13:29,7.9,74,4.0,SW,15,1029.5,11.5,55,5,S,30,1029.1
2022-09-3,4.5,14.5,0.4,2.0,9.0,SSE,35.0,12:55,9.0,93,7.0,SW,11,1031.5,14.0,61,3,S,24,1029.6
2022-09-4,6.5,11.8,1.0,2.0,0.6,S,30.0,16:43,8.6,95,7.0,SW,11,1030.9,11.3,72,7,S,19,1028.3
2022-09-5,4.9,15.1,0.0,0.2,8.7,SE,35.0,11:30,10.4,72,1.0,S,11,1027.3,14.0,54,5,S,22,1024.5
2022-09-6,2.6,17.7,0.0,3.4,8.4,NE,31.0,12:42,8.9,81,6.0,NNE,7,1026.0,17.0,45,6,NNE,19,1021.9
2022-09-7,2.8,19.3,0.0,2.2,6.2,NE,37.0,13:57,11.3,74,5.0,NNE,9,1021.8,18.5,46,7,NNE,26,1016.5
2022-09-8,11.0,16.3,4.6,3.4,0.0,NNE,59.0,10:51,14.8,80,8.0,NE,28,1010.0,15.6,79,8,NE,31,1004.7
2022-09-9,10.4,19.8,0.6,0.6,6.1,NNE,46.0,13:34,14.0,78,5.0,NNE,30,1008.6,18.4,51,4,N,28,1006.1
2022-09-10,9.9,15.7,2.0,4.2,4.1,WSW,52.0,14:58,11.2,86,6.0,WSW,20,1012.3,14.8,49,5,WSW,39,1012.8
2022-09-11,4.7,16.2,0.0,3.4,4.0,WNW,44.0,11:06,11.5,55,7.0,NNW,17,1016.3,14.9,50,6,WNW,24,1014.2
2022-09-12,5.2,13.5,3.4,2.2,4.4,SW,39.0,10:32,9.5,75,7.0,W,17,1020.2,11.8,61,7,SSE,15,1020.7
2022-09-13,3.4,12.4,0.2,1.8,3.1,SE,28.0,15:03,8.4,76,5.0,SW,11,1029.2,11.5,59,7,SSE,19,1027.3
2022-09-14,0.8,17.2,0.0,0.4,9.3,NNE,65.0,15:52,10.2,65,1.0,NNE,28,1023.8,16.0,45,5,NNE,43,1018.2
2022-09-15,10.2,14.9,4.0,6.6,1.6,N,57.0,04:59,11.8,84,7.0,NNE,26,1012.3,14.5,78,7,NNE,33,1006.9
2022-09-16,9.6,17.3,0.0,2.8,4.9,N,61.0,12:40,13.3,68,3.0,N,28,1002.1,14.0,75,7,N,30,998.1
2022-09-17,7.6,13.8,2.4,3.6,2.8,N,59.0,08:50,11.9,73,6.0,N,46,999.5,10.9,86,7,NW,22,998.5
2022-09-18,9.5,16.8,4.6,2.0,1.7,WSW,63.0,15:06,12.0,66,7.0,NNW,13,1007.4,15.0,59,7,W,26,1005.7
2022-09-19,5.5,15.8,6.2,2.8,6.1,WSW,37.0,10:09,12.0,68,1.0,W,20,1016.5,15.0,55,7,W,20,1016.5
2022-09-20,6.4,18.6,0.0,1.2,10.0,NNE,52.0,08:06,12.3,66,1.0,NNE,35,1019.8,17.4,50,6,NNE,30,1016.3
